radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,radius,count,Accuracy,Precision,Recall,FPR,Unknown Coverage,F1
0.1,470,0,0.4838,0.422857143,0.0888,0.14677686,0.1212,,0.14,10,0.4791,0.290581162,0.029,0.0708,0.0101,0.052736861
0.1,490,0.0701,0.4155,0.223313687,0.0682,0.104489046,0.2372,,,,,,,,,
0.14,10,0.0101,0.4791,0.290581162,0.029,0.052736861,0.0708,,,,,,,,,
0.07,100,0.0153,0.3894,0.096938776,0.0266,0.041745135,0.2478,,,,,,,,,
0.02,390,0,0.4325,0.119503946,0.0212,0.036011551,0.1562,,,,,,,,,
0.07,460,0.0006,0.4837,0.197026022,0.0106,0.020117669,0.0432,,,,,,,,,
0.03,140,0.0024,0.4899,0.251231527,0.0102,0.019604075,0.0304,,,,,,,,,
0.05,400,0.0015,0.4926,0.287356322,0.01,0.019327406,0.0248,,,,,,,,,
0.02,360,0.0007,0.4941,0.312101911,0.0098,0.019003296,0.0216,,,,,,,,,
0.1,420,0,0.5016,0.605263158,0.0092,0.018124507,0.006,,,,,,,,,
0.08,380,0,0.4894,0.235,0.0094,0.018076923,0.0306,,,,,,,,,
0.13,360,0.0015,0.4407,0.073381295,0.0102,0.017910448,0.1288,,,,,,,,,
0.08,170,0,0.5004,0.523809524,0.0088,0.017309205,0.008,,,,,,,,,
0.04,130,0,0.5005,0.530864198,0.0086,0.016925802,0.0076,,,,,,,,,
0.03,400,0,0.4907,0.234285714,0.0082,0.015845411,0.0268,,,,,,,,,
0.1,10,0,0.5016,0.648148148,0.007,0.013850416,0.0038,,,,,,,,,
0.03,80,0,0.5002,0.515151515,0.0068,0.013422819,0.0064,,,,,,,,,
0.02,420,0,0.4999,0.492537313,0.0066,0.013025459,0.0068,,,,,,,,,
0.15,400,0,0.4976,0.366666667,0.0066,0.012966601,0.0114,,,,,,,,,
0.06,410,0.0148,0.502,0.777777778,0.0056,0.011119936,0.0016,,,,,,,,,
0.02,230,0.0014,0.4978,0.351351351,0.0052,0.010248325,0.0096,,,,,,,,,
0.01,280,0.0001,0.4975,0.333333333,0.005,0.009852217,0.01,,,,,,,,,
0.02,490,0,0.4993,0.431372549,0.0044,0.008711146,0.0058,,,,,,,,,
0.22,380,0,0.5005,0.571428571,0.004,0.007944389,0.003,,,,,,,,,
0.05,220,0,0.4994,0.434782609,0.004,0.007927071,0.0052,,,,,,,,,
0.01,260,0.0061,0.4989,0.382978723,0.0036,0.00713295,0.0058,,,,,,,,,
0.02,120,0,0.4944,0.195652174,0.0036,0.007069914,0.0148,,,,,,,,,
0.05,70,0,0.4987,0.361702128,0.0034,0.006736675,0.006,,,,,,,,,
0.09,320,0.0003,0.4981,0.320754717,0.0034,0.006728676,0.0072,,,,,,,,,
0.05,60,0,0.4672,0.049450549,0.0036,0.006711409,0.0692,,,,,,,,,
0.12,50,0.0001,0.4583,0.035634744,0.0032,0.005872637,0.0866,,,,,,,,,
0.2,120,0.0014,0.499,0.368421053,0.0028,0.005557761,0.0048,,,,,,,,,
0.15,330,0,0.4963,0.206349206,0.0026,0.005135295,0.01,,,,,,,,,
0.02,10,0,0.499,0.352941176,0.0024,0.00476758,0.0044,,,,,,,,,
0.05,280,0,0.5009,0.909090909,0.002,0.003991219,0.0002,,,,,,,,,
0.09,400,0.0015,0.4903,0.085470085,0.002,0.00390854,0.0214,,,,,,,,,
0.06,350,0,0.5001,0.533333333,0.0016,0.003190429,0.0014,,,,,,,,,
0.03,170,0.0014,0.4971,0.177777778,0.0016,0.003171457,0.0074,,,,,,,,,
0.07,490,0.0085,0.4968,0.166666667,0.0016,0.003169572,0.008,,,,,,,,,
0.02,430,0.0014,0.4593,0.01891253,0.0016,0.002950396,0.083,,,,,,,,,
0.02,180,0,0.5005,0.777777778,0.0014,0.002794969,0.0004,,,,,,,,,
0.16,440,0,0.5005,0.777777778,0.0014,0.002794969,0.0004,,,,,,,,,
0.17,490,0,0.5002,0.583333333,0.0014,0.002793296,0.001,,,,,,,,,
0.06,220,0,0.5,0.5,0.0014,0.002792182,0.0014,,,,,,,,,
0.11,90,0.004,0.5,0.5,0.0014,0.002792182,0.0014,,,,,,,,,
0.18,160,0,0.5,0.5,0.0014,0.002792182,0.0014,,,,,,,,,
0.04,120,0.0027,0.4997,0.411764706,0.0014,0.002790512,0.002,,,,,,,,,
0.04,280,0.0014,0.4992,0.318181818,0.0014,0.002787734,0.003,,,,,,,,,
0.14,140,0,0.4984,0.233333333,0.0014,0.0027833,0.0046,,,,,,,,,
0.06,100,0.0001,0.4663,0.01994302,0.0014,0.002616333,0.0688,,,,,,,,,
0.03,480,0,0.5005,0.857142857,0.0012,0.002396645,0.0002,,,,,,,,,
0.05,40,0,0.4999,0.461538462,0.0012,0.002393776,0.0014,,,,,,,,,
0.02,70,0,0.4988,0.25,0.0012,0.002388535,0.0036,,,,,,,,,
0.01,210,0,0.5004,0.833333333,0.001,0.001997603,0.0002,,,,,,,,,
0.08,10,0,0.5004,0.833333333,0.001,0.001997603,0.0002,,,,,,,,,
0.02,190,0.0014,0.4998,0.416666667,0.001,0.001995211,0.0014,,,,,,,,,
0.16,240,0,0.4996,0.357142857,0.001,0.001994416,0.0018,,,,,,,,,
0.09,170,0.0018,0.4994,0.3125,0.001,0.00199362,0.0022,,,,,,,,,
0.19,480,0,0.5003,0.8,0.0008,0.001598402,0.0002,,,,,,,,,
0.2,100,0.0014,0.4997,0.363636364,0.0008,0.001596488,0.0014,,,,,,,,,
0.01,30,0,0.4989,0.210526316,0.0008,0.001593943,0.003,,,,,,,,,
0.18,240,0,0.4982,0.153846154,0.0008,0.001591723,0.0044,,,,,,,,,
0.06,430,0,0.4673,0.011940299,0.0008,0.001499531,0.0662,,,,,,,,,
0.06,480,0.0002,0.4996,0.3,0.0006,0.001197605,0.0014,,,,,,,,,
0.11,170,0.0008,0.4993,0.230769231,0.0006,0.001196888,0.002,,,,,,,,,
0.06,150,0,0.5002,1,0.0004,0.00079968,0,,,,,,,,,
0.07,60,0,0.5002,1,0.0004,0.00079968,0,,,,,,,,,
0.03,40,0,0.5,0.5,0.0004,0.000799361,0.0004,,,,,,,,,
0.02,20,0,0.4997,0.285714286,0.0004,0.000798882,0.001,,,,,,,,,
0.04,220,0,0.4995,0.222222222,0.0004,0.000798563,0.0014,,,,,,,,,
0.01,360,0,0.499,0.142857143,0.0004,0.000797766,0.0024,,,,,,,,,
0.02,100,0,0.4955,0.040816327,0.0004,0.000792236,0.0094,,,,,,,,,
0.01,270,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.02,340,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.02,500,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.03,360,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.04,440,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.05,90,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.05,140,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.06,360,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.06,380,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.07,270,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.09,460,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.1,70,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.12,100,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.13,40,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.15,240,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.16,90,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.17,10,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.19,20,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.19,440,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.23,250,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.34,110,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.03,500,0,0.5,0.5,0.0002,0.00039984,0.0002,,,,,,,,,
0.04,50,0,0.5,0.5,0.0002,0.00039984,0.0002,,,,,,,,,
0.32,400,0,0.5,0.5,0.0002,0.00039984,0.0002,,,,,,,,,
0.01,70,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.01,440,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.03,120,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.12,230,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.15,70,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.15,320,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.2,440,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.21,30,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.36,90,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.01,130,0,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
0.05,320,0,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
0.07,70,0,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
0.11,250,0,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
0.12,150,0,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
0.13,170,0,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
0.2,330,0,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
0.08,420,0,0.4996,0.166666667,0.0002,0.000399521,0.001,,,,,,,,,
0.11,150,0,0.4996,0.166666667,0.0002,0.000399521,0.001,,,,,,,,,
0.02,450,0,0.4995,0.142857143,0.0002,0.000399441,0.0012,,,,,,,,,
0.08,250,0.0002,0.4995,0.142857143,0.0002,0.000399441,0.0012,,,,,,,,,
0.11,500,0,0.4995,0.142857143,0.0002,0.000399441,0.0012,,,,,,,,,
0.06,40,0,0.4994,0.125,0.0002,0.000399361,0.0014,,,,,,,,,
0.22,320,0,0.4994,0.125,0.0002,0.000399361,0.0014,,,,,,,,,
0.03,150,0,0.499,0.083333333,0.0002,0.000399042,0.0022,,,,,,,,,
0.01,460,0,0.4672,0.003030303,0.0002,0.000375235,0.0658,,,,,,,,,
0.01,150,0.0001,0.4656,0.002890173,0.0002,0.000374111,0.069,,,,,,,,,
0.01,10,0,0.5,0,0,0,0,,,,,,,,,
0.01,20,0,0.5,0,0,0,0,,,,,,,,,
0.01,40,0,0.5,0,0,0,0,,,,,,,,,
0.01,50,0,0.5,0,0,0,0,,,,,,,,,
0.01,60,0,0.5,0,0,0,0,,,,,,,,,
0.01,80,0,0.5,0,0,0,0,,,,,,,,,
0.01,90,0,0.5,0,0,0,0,,,,,,,,,
0.01,100,0,0.5,0,0,0,0,,,,,,,,,
0.01,110,0,0.5,0,0,0,0,,,,,,,,,
0.01,120,0,0.5,0,0,0,0,,,,,,,,,
0.01,140,0,0.5,0,0,0,0,,,,,,,,,
0.01,160,0,0.5,0,0,0,0,,,,,,,,,
0.01,170,0,0.5,0,0,0,0,,,,,,,,,
0.01,180,0,0.5,0,0,0,0,,,,,,,,,
0.01,190,0,0.5,0,0,0,0,,,,,,,,,
0.01,200,0,0.5,0,0,0,0,,,,,,,,,
0.01,220,0,0.5,0,0,0,0,,,,,,,,,
0.01,230,0,0.5,0,0,0,0,,,,,,,,,
0.01,240,0,0.5,0,0,0,0,,,,,,,,,
0.01,250,0,0.5,0,0,0,0,,,,,,,,,
0.01,290,0,0.5,0,0,0,0,,,,,,,,,
0.01,300,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.01,310,0,0.5,0,0,0,0,,,,,,,,,
0.01,320,0,0.5,0,0,0,0,,,,,,,,,
0.01,330,0,0.4993,0,0,0,0.0014,,,,,,,,,
0.01,340,0,0.5,0,0,0,0,,,,,,,,,
0.01,350,0,0.5,0,0,0,0,,,,,,,,,
0.01,370,0,0.5,0,0,0,0,,,,,,,,,
0.01,380,0,0.5,0,0,0,0,,,,,,,,,
0.01,390,0,0.5,0,0,0,0,,,,,,,,,
0.01,400,0,0.5,0,0,0,0,,,,,,,,,
0.01,410,0,0.5,0,0,0,0,,,,,,,,,
0.01,420,0,0.5,0,0,0,0,,,,,,,,,
0.01,430,0,0.5,0,0,0,0,,,,,,,,,
0.01,450,0,0.5,0,0,0,0,,,,,,,,,
0.01,470,0,0.5,0,0,0,0,,,,,,,,,
0.01,480,0,0.5,0,0,0,0,,,,,,,,,
0.01,490,0,0.5,0,0,0,0,,,,,,,,,
0.01,500,0,0.5,0,0,0,0,,,,,,,,,
0.02,30,0,0.5,0,0,0,0,,,,,,,,,
0.02,40,0,0.4996,0,0,0,0.0008,,,,,,,,,
0.02,50,0,0.5,0,0,0,0,,,,,,,,,
0.02,60,0,0.5,0,0,0,0,,,,,,,,,
0.02,80,0,0.5,0,0,0,0,,,,,,,,,
0.02,90,0,0.5,0,0,0,0,,,,,,,,,
0.02,110,0,0.5,0,0,0,0,,,,,,,,,
0.02,130,0,0.5,0,0,0,0,,,,,,,,,
0.02,140,0,0.5,0,0,0,0,,,,,,,,,
0.02,150,0,0.5,0,0,0,0,,,,,,,,,
0.02,160,0,0.5,0,0,0,0,,,,,,,,,
0.02,170,0,0.5,0,0,0,0,,,,,,,,,
0.02,200,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.02,210,0,0.5,0,0,0,0,,,,,,,,,
0.02,220,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.02,240,0,0.5,0,0,0,0,,,,,,,,,
0.02,250,0,0.5,0,0,0,0,,,,,,,,,
0.02,260,0,0.5,0,0,0,0,,,,,,,,,
0.02,270,0,0.5,0,0,0,0,,,,,,,,,
0.02,280,0,0.4996,0,0,0,0.0008,,,,,,,,,
0.02,290,0,0.5,0,0,0,0,,,,,,,,,
0.02,300,0,0.5,0,0,0,0,,,,,,,,,
0.02,310,0,0.5,0,0,0,0,,,,,,,,,
0.02,320,0,0.4995,0,0,0,0.001,,,,,,,,,
0.02,330,0,0.5,0,0,0,0,,,,,,,,,
0.02,350,0,0.5,0,0,0,0,,,,,,,,,
0.02,370,0,0.5,0,0,0,0,,,,,,,,,
0.02,380,0,0.5,0,0,0,0,,,,,,,,,
0.02,400,0,0.5,0,0,0,0,,,,,,,,,
0.02,410,0,0.5,0,0,0,0,,,,,,,,,
0.02,440,0,0.5,0,0,0,0,,,,,,,,,
0.02,460,0,0.5,0,0,0,0,,,,,,,,,
0.02,470,0,0.5,0,0,0,0,,,,,,,,,
0.02,480,0,0.5,0,0,0,0,,,,,,,,,
0.03,10,0,0.5,0,0,0,0,,,,,,,,,
0.03,20,0,0.5,0,0,0,0,,,,,,,,,
0.03,30,0,0.5,0,0,0,0,,,,,,,,,
0.03,50,0,0.5,0,0,0,0,,,,,,,,,
0.03,60,0,0.5,0,0,0,0,,,,,,,,,
0.03,70,0,0.5,0,0,0,0,,,,,,,,,
0.03,90,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.03,100,0,0.5,0,0,0,0,,,,,,,,,
0.03,110,0,0.5,0,0,0,0,,,,,,,,,
0.03,130,0,0.5,0,0,0,0,,,,,,,,,
0.03,160,0,0.5,0,0,0,0,,,,,,,,,
0.03,180,0,0.5,0,0,0,0,,,,,,,,,
0.03,190,0,0.5,0,0,0,0,,,,,,,,,
0.03,200,0,0.5,0,0,0,0,,,,,,,,,
0.03,210,0,0.5,0,0,0,0,,,,,,,,,
0.03,220,0,0.5,0,0,0,0,,,,,,,,,
0.03,230,0,0.5,0,0,0,0,,,,,,,,,
0.03,240,0,0.5,0,0,0,0,,,,,,,,,
0.03,250,0,0.5,0,0,0,0,,,,,,,,,
0.03,260,0,0.5,0,0,0,0,,,,,,,,,
0.03,270,0,0.5,0,0,0,0,,,,,,,,,
0.03,280,0,0.5,0,0,0,0,,,,,,,,,
0.03,290,0,0.5,0,0,0,0,,,,,,,,,
0.03,300,0,0.5,0,0,0,0,,,,,,,,,
0.03,310,0,0.5,0,0,0,0,,,,,,,,,
0.03,320,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.03,330,0,0.5,0,0,0,0,,,,,,,,,
0.03,340,0,0.5,0,0,0,0,,,,,,,,,
0.03,350,0,0.5,0,0,0,0,,,,,,,,,
0.03,370,0,0.5,0,0,0,0,,,,,,,,,
0.03,380,0,0.5,0,0,0,0,,,,,,,,,
0.03,390,0,0.5,0,0,0,0,,,,,,,,,
0.03,410,0,0.5,0,0,0,0,,,,,,,,,
0.03,420,0,0.4998,0,0,0,0.0004,,,,,,,,,
0.03,430,0,0.5,0,0,0,0,,,,,,,,,
0.03,440,0,0.5,0,0,0,0,,,,,,,,,
0.03,450,0,0.5,0,0,0,0,,,,,,,,,
0.03,460,0,0.5,0,0,0,0,,,,,,,,,
0.03,470,0,0.5,0,0,0,0,,,,,,,,,
0.03,490,0,0.5,0,0,0,0,,,,,,,,,
0.04,10,0,0.5,0,0,0,0,,,,,,,,,
0.04,20,0,0.5,0,0,0,0,,,,,,,,,
0.04,30,0,0.5,0,0,0,0,,,,,,,,,
0.04,40,0,0.5,0,0,0,0,,,,,,,,,
0.04,60,0,0.5,0,0,0,0,,,,,,,,,
0.04,70,0,0.5,0,0,0,0,,,,,,,,,
0.04,80,0,0.5,0,0,0,0,,,,,,,,,
0.04,90,0,0.5,0,0,0,0,,,,,,,,,
0.04,100,0,0.5,0,0,0,0,,,,,,,,,
0.04,110,0,0.5,0,0,0,0,,,,,,,,,
0.04,140,0,0.5,0,0,0,0,,,,,,,,,
0.04,150,0,0.5,0,0,0,0,,,,,,,,,
0.04,160,0,0.5,0,0,0,0,,,,,,,,,
0.04,170,0,0.5,0,0,0,0,,,,,,,,,
0.04,180,0,0.5,0,0,0,0,,,,,,,,,
0.04,190,0,0.5,0,0,0,0,,,,,,,,,
0.04,200,0,0.5,0,0,0,0,,,,,,,,,
0.04,210,0,0.5,0,0,0,0,,,,,,,,,
0.04,230,0,0.5,0,0,0,0,,,,,,,,,
0.04,240,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.04,250,0,0.5,0,0,0,0,,,,,,,,,
0.04,260,0,0.5,0,0,0,0,,,,,,,,,
0.04,270,0,0.5,0,0,0,0,,,,,,,,,
0.04,290,0,0.5,0,0,0,0,,,,,,,,,
0.04,300,0,0.5,0,0,0,0,,,,,,,,,
0.04,310,0,0.5,0,0,0,0,,,,,,,,,
0.04,320,0,0.5,0,0,0,0,,,,,,,,,
0.04,330,0,0.5,0,0,0,0,,,,,,,,,
0.04,340,0,0.5,0,0,0,0,,,,,,,,,
0.04,350,0,0.5,0,0,0,0,,,,,,,,,
0.04,360,0,0.5,0,0,0,0,,,,,,,,,
0.04,370,0,0.5,0,0,0,0,,,,,,,,,
0.04,380,0,0.5,0,0,0,0,,,,,,,,,
0.04,390,0,0.5,0,0,0,0,,,,,,,,,
0.04,400,0,0.5,0,0,0,0,,,,,,,,,
0.04,410,0,0.5,0,0,0,0,,,,,,,,,
0.04,420,0,0.5,0,0,0,0,,,,,,,,,
0.04,430,0,0.5,0,0,0,0,,,,,,,,,
0.04,450,0,0.5,0,0,0,0,,,,,,,,,
0.04,460,0,0.5,0,0,0,0,,,,,,,,,
0.04,470,0,0.5,0,0,0,0,,,,,,,,,
0.04,480,0,0.5,0,0,0,0,,,,,,,,,
0.04,490,0,0.5,0,0,0,0,,,,,,,,,
0.04,500,0,0.5,0,0,0,0,,,,,,,,,
0.05,10,0,0.5,0,0,0,0,,,,,,,,,
0.05,20,0,0.5,0,0,0,0,,,,,,,,,
0.05,30,0,0.5,0,0,0,0,,,,,,,,,
0.05,50,0,0.5,0,0,0,0,,,,,,,,,
0.05,80,0,0.5,0,0,0,0,,,,,,,,,
0.05,100,0,0.5,0,0,0,0,,,,,,,,,
0.05,110,0,0.5,0,0,0,0,,,,,,,,,
0.05,120,0,0.5,0,0,0,0,,,,,,,,,
0.05,130,0,0.5,0,0,0,0,,,,,,,,,
0.05,150,0,0.5,0,0,0,0,,,,,,,,,
0.05,160,0,0.5,0,0,0,0,,,,,,,,,
0.05,170,0,0.5,0,0,0,0,,,,,,,,,
0.05,180,0,0.5,0,0,0,0,,,,,,,,,
0.05,190,0,0.5,0,0,0,0,,,,,,,,,
0.05,200,0,0.5,0,0,0,0,,,,,,,,,
0.05,210,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.05,230,0,0.5,0,0,0,0,,,,,,,,,
0.05,240,0,0.5,0,0,0,0,,,,,,,,,
0.05,250,0,0.5,0,0,0,0,,,,,,,,,
0.05,260,0,0.5,0,0,0,0,,,,,,,,,
0.05,270,0,0.5,0,0,0,0,,,,,,,,,
0.05,290,0,0.5,0,0,0,0,,,,,,,,,
0.05,300,0,0.5,0,0,0,0,,,,,,,,,
0.05,310,0,0.5,0,0,0,0,,,,,,,,,
0.05,330,0,0.5,0,0,0,0,,,,,,,,,
0.05,340,0,0.5,0,0,0,0,,,,,,,,,
0.05,350,0,0.5,0,0,0,0,,,,,,,,,
0.05,360,0,0.5,0,0,0,0,,,,,,,,,
0.05,370,0,0.5,0,0,0,0,,,,,,,,,
0.05,380,0,0.5,0,0,0,0,,,,,,,,,
0.05,390,0,0.5,0,0,0,0,,,,,,,,,
0.05,410,0,0.4997,0,0,0,0.0006,,,,,,,,,
0.05,420,0,0.5,0,0,0,0,,,,,,,,,
0.05,430,0,0.5,0,0,0,0,,,,,,,,,
0.05,440,0,0.5,0,0,0,0,,,,,,,,,
0.05,450,0,0.5,0,0,0,0,,,,,,,,,
