radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,,
0.07,20,0.805452292,0.8067,0.966818874,0.6352,0.766686783,0.0218,,,,,,,,,,
0.05,60,0.745972739,0.7861,0.978268138,0.5852,0.732323864,0.013,,,,,,,,,,
0.04,10,0.817430814,0.7748,0.908199643,0.6114,0.730815204,0.0618,,,0.04,10,0.817430814,0.7748,0.908199643,0.6114,0.730815204,0.0618
0.02,30,0.567534077,0.7676,0.9352635,0.575,0.712162497,0.0398,,,,,,,,,,
0.06,70,0.678232135,0.774,0.98409894,0.557,0.711366539,0.009,,,,,,,,,,
0.06,50,0.717059067,0.766,0.986466715,0.5394,0.697439876,0.0074,,,,,,,,,,
0.01,30,0.639818257,0.7513,0.991780822,0.5068,0.67081403,0.0042,,,,,,,,,,
0.01,10,0.815365551,0.7039,0.805148159,0.538,0.645006594,0.1302,,,,,,,,,,
0.02,90,0.622883106,0.711,0.969723954,0.4356,0.60115926,0.0136,,,,,,,,,,
0.03,90,0.449401074,0.6949,0.873228648,0.456,0.599132834,0.0662,,,,,,,,,,
0.06,40,0.740190004,0.7049,0.949934124,0.4326,0.594475745,0.0228,,,,,,,,,,
0.08,80,0.634861627,0.7069,0.981386691,0.4218,0.590012589,0.008,,,,,,,,,,
0.08,60,0.635687732,0.7064,0.980446927,0.4212,0.589255736,0.0084,,,,,,,,,,
0.06,10,0.368855845,0.6851,0.89943893,0.4168,0.569632363,0.0466,,,,,,,,,,
0.04,80,0.618752582,0.6926,0.969298246,0.3978,0.564095292,0.0126,,,,,,,,,,
0.06,60,0.209830648,0.6896,0.979271992,0.3874,0.555173402,0.0082,,,,,,,,,,
0.05,20,0.656340355,0.6782,0.958805355,0.3724,0.536444829,0.016,,,,,,,,,,
0.07,40,0.509706733,0.674,0.973340588,0.3578,0.523252413,0.0098,,,,,,,,,,
0.03,100,0.650970673,0.6717,0.969382176,0.3546,0.519256114,0.0112,,,,,,,,,,
0.08,100,0.483684428,0.6665,0.991150442,0.336,0.501867065,0.003,,,,,,,,,,
0.01,70,0.566294919,0.663,0.962018141,0.3394,0.501774098,0.0134,,,,,,,,,,
0.09,40,0.370508055,0.6617,0.978685613,0.3306,0.494244282,0.0072,,,,,,,,,,
0.02,20,0.814539447,0.6493,0.88900469,0.3412,0.493134846,0.0426,,,,,,,,,,
0.01,60,0.783973565,0.6529,0.943188406,0.3254,0.483866171,0.0196,,,,,,,,,,
0.05,10,0.472945064,0.6233,0.786877617,0.3382,0.473073157,0.0916,,,,,,,,,,
0.07,30,0.661296985,0.6435,0.917880023,0.3152,0.469257109,0.0282,,,,,,,,,,
0.07,70,0.332094176,0.6455,0.994561523,0.2926,0.452171225,0.0016,,,,,,,,,,
0.05,70,0.522511359,0.6429,0.986385296,0.2898,0.447982687,0.004,,,,,,,,,,
0.08,10,0.603056588,0.6148,0.806296692,0.3022,0.439627582,0.0726,,,,,,,,,,
0.06,30,0.431639818,0.6386,0.979916898,0.283,0.439168218,0.0058,,,,,,,,,,
0.03,70,0.363899215,0.622,0.921270718,0.2668,0.413771712,0.0228,,,,,,,,,,
0.08,20,0.279223461,0.6149,0.886348352,0.2636,0.406351164,0.0338,,,,,,,,,,
0.04,90,0.515489467,0.6171,0.957064793,0.2452,0.390383697,0.011,,,,,,,,,,
0.02,50,0.376703841,0.612,0.942338073,0.2386,0.38078519,0.0146,,,,,,,,,,
0.04,70,0.520033044,0.6121,0.945902944,0.2378,0.380054339,0.0136,,,,,,,,,,
0.02,80,0.223874432,0.6091,0.927843137,0.2366,0.377051793,0.0184,,,,,,,,,,
0.04,60,0.325898389,0.6112,0.962562396,0.2314,0.37310545,0.009,,,,,,,,,,
0.04,100,0.408508881,0.6124,0.989547038,0.2272,0.369551074,0.0024,,,,,,,,,,
0.05,30,0.296984717,0.6054,0.963093146,0.2192,0.357119583,0.0084,,,,,,,,,,
0.1,20,0.204460967,0.5999,0.956164384,0.2094,0.343560295,0.0096,,,,,,,,,,
0.02,40,0.090871541,0.594,0.905172414,0.21,0.340909091,0.022,,,,,,,,,,
0.01,50,0.306071871,0.5987,0.977734753,0.202,0.334825128,0.0046,,,,,,,,,,
0.01,40,0.180503924,0.5735,0.771217712,0.209,0.328874902,0.062,,,,,,,,,,
0.04,30,0.548946716,0.5952,0.978873239,0.1946,0.324657991,0.0042,,,,,,,,,,
0.03,20,0.300702189,0.5929,0.954056696,0.1952,0.324090985,0.0094,,,,,,,,,,
0.03,30,0.136720363,0.5928,0.981327801,0.1892,0.317236754,0.0036,,,,,,,,,,
0.02,70,0.315572078,0.5865,0.927794263,0.1876,0.312094493,0.0146,,,,,,,,,,
0.02,60,0.153242462,0.5839,0.953513514,0.1764,0.297721519,0.0086,,,,,,,,,,
0.07,60,0.159851301,0.5818,0.940732759,0.1746,0.294534413,0.011,,,,,,,,,,
0.03,80,0.714580752,0.5783,0.907388137,0.1744,0.292568361,0.0178,,,,,,,,,,
0.05,100,0.164807931,0.5682,0.812271062,0.1774,0.291201576,0.041,,,,,,,,,,
0.03,50,0.344898802,0.5795,0.951191827,0.1676,0.284985547,0.0086,,,,,,,,,,
0.1,10,0.496489054,0.5497,0.70554177,0.1706,0.274762442,0.0712,,,,,,,,,,
0.03,10,0.188351921,0.5506,0.71440678,0.1686,0.272815534,0.0674,,,,,,,,,,
0.05,90,0.432878976,0.5718,0.929425837,0.1554,0.266278273,0.0118,,,,,,,,,,
0.08,90,0.129285419,0.5633,0.902160102,0.142,0.24537757,0.0154,,,,,,,,,,
0.09,60,0.131350682,0.5674,0.973314607,0.1386,0.242647059,0.0038,,,,,,,,,,
0.02,10,0.317224287,0.5495,0.773480663,0.14,0.237087214,0.041,,,,,,,,,,
0.05,50,0.291615035,0.5645,0.966714906,0.1336,0.234756633,0.0046,,,,,,,,,,
0.01,20,0.210656753,0.5507,0.795110594,0.1366,0.233145588,0.0352,,,,,,,,,,
0.08,50,0.157786039,0.5578,0.890540541,0.1318,0.229616725,0.0162,,,,,,,,,,
0.06,100,0.366790582,0.5619,0.959881129,0.1292,0.227745461,0.0054,,,,,,,,,,
0.07,90,0.58323007,0.5615,0.969465649,0.127,0.224580018,0.004,,,,,,,,,,
0.01,100,0.17306898,0.5516,0.830769231,0.1296,0.224221453,0.0264,,,,,,,,,,
0.09,20,0.038826931,0.5546,0.965870307,0.1132,0.202649481,0.004,,,,,,,,,,
0.01,90,0.216026435,0.5534,0.947986577,0.113,0.20192995,0.0062,,,,,,,,,,
0.02,100,0.456422966,0.5478,0.880573248,0.1106,0.196517413,0.015,,,,,,,,,,
0.04,20,0.316811235,0.538,0.772206304,0.1078,0.189189189,0.0318,,,,,,,,,,
0.09,10,0.244114002,0.549,0.93594306,0.1052,0.189140597,0.0072,,,,,,,,,,
0.06,20,0.207765386,0.5312,0.718487395,0.1026,0.179558978,0.0402,,,,,,,,,,
0.03,60,0.169351508,0.5441,0.966173362,0.0914,0.167001644,0.0032,,,,,,,,,,
0.05,80,0.090871541,0.5342,0.972375691,0.0704,0.131294293,0.002,,,,,,,,,,
0.1,40,0.140024783,0.5312,0.938202247,0.0668,0.12471994,0.0044,,,,,,,,,,
0.07,50,0.09417596,0.5286,0.930722892,0.0618,0.115903976,0.0046,,,,,,,,,,
0.1,60,0.095002065,0.5287,0.952681388,0.0604,0.113597894,0.003,,,,,,,,,,
0.04,40,0.061131764,0.526,0.916666667,0.0572,0.107680723,0.0052,,,,,,,,,,
0.07,80,0.040892193,0.5258,0.93877551,0.0552,0.104268984,0.0036,,,,,,,,,,
0.08,70,0.059066501,0.5248,0.942857143,0.0528,0.1,0.0032,,,,,,,,,,
0.09,90,0.176786452,0.5244,0.988,0.0494,0.094095238,0.0006,,,,,,,,,,
0.04,50,0.202808757,0.5217,0.888888889,0.0496,0.093957189,0.0062,,,,,,,,,,
0.1,30,0.16646014,0.5209,0.864111498,0.0496,0.093815018,0.0078,,,,,,,,,,
0.1,50,0.046674928,0.522,0.974137931,0.0452,0.086391437,0.0012,,,,,,,,,,
0.1,90,0.210656753,0.5223,0.991189427,0.045,0.086091448,0.0004,,,,,,,,,,
0.1,80,0.047501033,0.4978,0.475770925,0.0432,0.079207921,0.0476,,,,,,,,,,
0.09,100,0.198678232,0.5195,0.975609756,0.04,0.076849183,0.001,,,,,,,,,,
0.09,30,0.153655514,0.5182,0.946078431,0.0386,0.074173713,0.0022,,,,,,,,,,
0.07,100,0.133002891,0.518,0.994505495,0.0362,0.069857198,0.0002,,,,,,,,,,
0.05,40,0.084262701,0.5152,0.926966292,0.033,0.06373117,0.0026,,,,,,,,,,
0.08,30,0.009087154,0.5125,0.878787879,0.029,0.056147144,0.004,,,,,,,,,,
0.03,40,0.080958282,0.5048,0.608108108,0.027,0.051704328,0.0174,,,,,,,,,,
0.09,50,0.081371334,0.5104,0.981481481,0.0212,0.041503524,0.0004,,,,,,,,,,
0.06,80,0.016935151,0.5061,0.835164835,0.0152,0.02985661,0.003,,,,,,,,,,
0.01,80,0.052870715,0.5062,0.860465116,0.0148,0.029099489,0.0024,,,,,,,,,,
0.09,70,0.035522511,0.5056,0.9375,0.012,0.023696682,0.0008,,,,,,,,,,
0.08,40,0.032218092,0.5046,0.96,0.0096,0.019009901,0.0004,,,,,,,,,,
0.1,70,0.02684841,0.5019,0.679245283,0.0072,0.014248961,0.0034,,,,,,,,,,
0.09,80,0.007847997,0.5033,1,0.0066,0.013113451,0,,,,,,,,,,
0.1,100,0.001239157,0.5031,0.942857143,0.0066,0.013108242,0.0004,,,,,,,,,,
0.07,10,0.002891367,0.5003,0.636363636,0.0014,0.002793854,0.0008,,,,,,,,,,
0.06,90,0,0.5002,1,0.0004,0.00079968,0,,,,,,,,,,
